fecha,valor
2015-01-01,5810
2015-02-01,5720
2015-03-01,5935
2015-04-01,6021
2015-05-01,6142
2015-06-01,6275
2015-07-01,6440
2015-08-01,6368
2015-09-01,6282
2015-10-01,6151
2015-11-01,6039
2015-12-01,6108
2016-01-01,5954
2016-02-01,5881
2016-03-01,6080
2016-04-01,6235
2016-05-01,6389
2016-06-01,6542
2016-07-01,6655
2016-08-01,6618
2016-09-01,6502
2016-10-01,6368
2016-11-01,6234
2016-12-01,6301
2017-01-01,6182
2017-02-01,6097
2017-03-01,6325
2017-04-01,6480
2017-05-01,6633
2017-06-01,6798
2017-07-01,6915
2017-08-01,6871
2017-09-01,6754
2017-10-01,6612
2017-11-01,6479
2017-12-01,6540
2018-01-01,6427
2018-02-01,6360
2018-03-01,6589
2018-04-01,6735
2018-05-01,6904
2018-06-01,7081
2018-07-01,7193
2018-08-01,7135
2018-09-01,7020
2018-10-01,6884
2018-11-01,6739
2018-12-01,6801
2019-01-01,6664
2019-02-01,6594
2019-03-01,6808
2019-04-01,6963
2019-05-01,7129
2019-06-01,7320
2019-07-01,7457
2019-08-01,7405
2019-09-01,7293
2019-10-01,7156
2019-11-01,7012
2019-12-01,7074
2020-01-01,6901
2020-02-01,6825
2020-03-01,6574
2020-04-01,6132
2020-05-01,6028
2020-06-01,6330
2020-07-01,6489
2020-08-01,6451
2020-09-01,6393
2020-10-01,6250
2020-11-01,6118
2020-12-01,6192
2021-01-01,6104
2021-02-01,6120
2021-03-01,6362
2021-04-01,6515
2021-05-01,6680
2021-06-01,6884
2021-07-01,7011
2021-08-01,6982
2021-09-01,5500   # evento – corriente continua Polpaico
2021-10-01,6724
2021-11-01,6597
2021-12-01,6665
2022-01-01,6540
2022-02-01,6493
2022-03-01,6732
2022-04-01,6895
2022-05-01,7069
2022-06-01,7275
2022-07-01,7414
2022-08-01,7370
2022-09-01,7256
2022-10-01,7121
2022-11-01,6985
2022-12-01,7052
2023-01-01,6926
2023-02-01,6848
2023-03-01,7085
2023-04-01,7241
2023-05-01,7418
2023-06-01,7604
2023-07-01,7749
2023-08-01,7701
2023-09-01,7586
2023-10-01,7452
2023-11-01,7310
2023-12-01,7378
2024-01-01,7255
2024-02-01,7200
2024-03-01,7458
2024-04-01,7608
2024-05-01,7779
2024-06-01,7970
