fecha,valor
2015-01-01,412.3
2015-02-01,389.5
2015-03-01,400.2
2015-04-01,410.6
2015-05-01,402.2
2015-06-01,416.6
2015-07-01,419.5
2015-08-01,399.4
2015-09-01,431.7
2015-10-01,424.6
2015-11-01,407.9
2015-12-01,412.3
2016-01-01,421.4
2016-02-01,415.2
2016-03-01,420.2
2016-04-01,411.7
2016-05-01,441.7
2016-06-01,441.4
2016-07-01,446.2
2016-08-01,425.5
2016-09-01,462.7
2016-10-01,442.7
2016-11-01,434.1
2016-12-01,462.1
2017-01-01,438.1
2017-02-01,424.3
2017-03-01,441.6
2017-04-01,425.0
2017-05-01,470.9
2017-06-01,458.3
2017-07-01,457.3
2017-08-01,480.0
2017-09-01,446.4
2017-10-01,470.5
2017-11-01,437.3
2017-12-01,453.1
2018-01-01,447.5
2018-02-01,476.2
2018-03-01,478.9
2018-04-01,453.4
2018-05-01,467.2
2018-06-01,453.5
2018-07-01,459.3
2018-08-01,438.0
2018-09-01,419.2
2018-10-01,409.9
2018-11-01,427.7
2018-12-01,442.9
2019-01-01,413.8
2019-02-01,400.9
2019-03-01,429.2
2019-04-01,408.7
2019-05-01,406.8
2019-06-01,407.2
2019-07-01,399.4
2019-08-01,391.9
2019-09-01,371.0
2019-10-01,386.1
2019-11-01,370.5
2019-12-01,378.8
2020-01-01,354.6
2020-02-01,332.9
2020-03-01,353.4
2020-04-01,374.6
2020-05-01,349.4
2020-06-01,358.5
2020-07-01,367.7
2020-08-01,380.6
2020-09-01,398.9
2020-10-01,396.2
2020-11-01,436.5
2020-12-01,424.0
2021-01-01,439.9
2021-02-01,469.1
2021-03-01,483.9
2021-04-01,479.5
2021-05-01,501.9
2021-06-01,521.9
2021-07-01,523.6
2021-08-01,515.7
2021-09-01,554.2
2021-10-01,564.9
2021-11-01,567.4
2021-12-01,560.2
2022-01-01,580.1
2022-02-01,588.7
2022-03-01,606.1
2022-04-01,641.5
2022-05-01,660.1
2022-06-01,665.0
2022-07-01,661.6
2022-08-01,659.0
2022-09-01,644.8
2022-10-01,637.1
2022-11-01,622.9
2022-12-01,624.4
2023-01-01,648.0
2023-02-01,629.4
2023-03-01,615.0
2023-04-01,614.4
2023-05-01,610.7
2023-06-01,625.5
2023-07-01,623.8
2023-08-01,597.7
2023-09-01,614.8
2023-10-01,595.2
2023-11-01,612.1
2023-12-01,591.0
2024-01-01,605.6
2024-02-01,577.5
2024-03-01,579.6
2024-04-01,587.6
2024-05-01,597.7
2024-06-01,591.7
2024-07-01,568.3
2024-08-01,581.1
2024-09-01,573.2
2024-10-01,560.9
2024-11-01,551.2
2024-12-01,574.0
