fecha,valor
2019-01-01,1200
2019-02-01,1180
2019-03-01,1255
2019-04-01,1300
2019-05-01,1280
2019-06-01,1350
2019-07-01,1400
2019-08-01,1380
2019-09-01,1325
2019-10-01,1300
2019-11-01,1290
2019-12-01,1310
2020-01-01,1220
2020-02-01,1195
2020-03-01,1260
2020-04-01,1315
2020-05-01,1295
2020-06-01,1360
2020-07-01,1420
2020-08-01,1395
2020-09-01,1340
2020-10-01,1310
2020-11-01,1300
2020-12-01,1325
2021-01-01,1240
2021-02-01,1210
2021-03-01,1275
2021-04-01,1330
2021-05-01,1305
2021-06-01,1375
2021-07-01,1440
2021-08-01,1410
2021-09-01,1355
2021-10-01,1325
2021-11-01,1315
2021-12-01,1340
2022-01-01,1260
2022-02-01,1230
2022-03-01,1295
2022-04-01,1355
2022-05-01,1330
2022-06-01,1395
2022-07-01,1460
2022-08-01,1425
2022-09-01,1370
2022-10-01,1345
2022-11-01,1330
2022-12-01,1355
2023-01-01,1275
2023-02-01,1245
2023-03-01,1310
2023-04-01,1370
2023-05-01,1340
2023-06-01,1410
2023-07-01,1475
2023-08-01,1440
2023-09-01,1385
2023-10-01,1360
2023-11-01,1345
2023-12-01,1370
