fecha,valor
2010-01-01,54.9
2010-02-01,55.1
2010-03-01,56.5
2010-04-01,57.0
2010-05-01,58.3
2010-06-01,60.4
2010-07-01,62.8
2010-08-01,61.2
2010-09-01,59.7
2010-10-01,58.5
2010-11-01,57.3
2010-12-01,56.8
2011-01-01,57.9
2011-02-01,58.5
2011-03-01,60.2
2011-04-01,61.4
2011-05-01,63.6
2011-06-01,66.1
2011-07-01,67.8
2011-08-01,66.9
2011-09-01,64.3
2011-10-01,62.7
2011-11-01,61.5
2011-12-01,60.1
2012-01-01,59.4
2012-02-01,59.0
2012-03-01,60.1
2012-04-01,61.5
2012-05-01,63.9
2012-06-01,66.2
2012-07-01,68.0
2012-08-01,67.4
2012-09-01,65.2
2012-10-01,63.7
2012-11-01,62.6
2012-12-01,61.2
2013-01-01,60.6
2013-02-01,60.9
2013-03-01,62.4
2013-04-01,63.7
2013-05-01,66.1
2013-06-01,68.9
2013-07-01,71.5
2013-08-01,70.4
2013-09-01,68.2
2013-10-01,66.8
2013-11-01,65.1
2013-12-01,64.3
2014-01-01,66.5
2014-02-01,68.7
2014-03-01,72.9
2014-04-01,74.1
2014-05-01,76.4
2014-06-01,78.2
2014-07-01,79.8
2014-08-01,78.5
2014-09-01,76.0
2014-10-01,74.2
2014-11-01,72.8
2014-12-01,71.6
2015-01-01,70.2
2015-02-01,69.5
2015-03-01,71.0
2015-04-01,72.4
2015-05-01,74.6
2015-06-01,76.3
2015-07-01,78.1
2015-08-01,77.0
2015-09-01,74.9
2015-10-01,73.3
2015-11-01,71.9
2015-12-01,70.8
2016-01-01,69.4
2016-02-01,68.3
2016-03-01,69.8
2016-04-01,71.2
2016-05-01,73.5
2016-06-01,75.1
2016-07-01,77.0
2016-08-01,75.9
2016-09-01,73.8
2016-10-01,72.1
2016-11-01,70.6
2016-12-01,69.3
2017-01-01,71.8
2017-02-01,73.1
2017-03-01,77.5
2017-04-01,78.9
2017-05-01,81.4
2017-06-01,83.0
2017-07-01,84.9
2017-08-01,83.5
2017-09-01,81.2
2017-10-01,79.8
2017-11-01,78.4
2017-12-01,77.1
2018-01-01,75.7
2018-02-01,74.8
2018-03-01,76.4
2018-04-01,77.5
2018-05-01,79.9
2018-06-01,82.1
2018-07-01,84.3
2018-08-01,83.1
2018-09-01,80.8
2018-10-01,79.1
2018-11-01,77.5
2018-12-01,76.3
2019-01-01,74.6
2019-02-01,73.4
2019-03-01,74.8
2019-04-01,76.3
2019-05-01,78.7
2019-06-01,80.4
2019-07-01,81.9
2019-08-01,80.7
2019-09-01,78.4
2019-10-01,76.8
2019-11-01,75.3
2019-12-01,74.1
2020-01-01,46.5
2020-02-01,44.9
2020-03-01,42.8
2020-04-01,38.1
2020-05-01,36.7
2020-06-01,39.2
2020-07-01,41.5
2020-08-01,42.3
2020-09-01,43.0
2020-10-01,42.6
2020-11-01,44.1
2020-12-01,45.3
2021-01-01,47.8
2021-02-01,48.9
2021-03-01,50.2
2021-04-01,51.7
2021-05-01,53.9
2021-06-01,55.6
2021-07-01,57.0
2021-08-01,56.1
2021-09-01,54.0
2021-10-01,52.8
2021-11-01,51.5
2021-12-01,50.9
2022-01-01,55.1
2022-02-01,56.3
2022-03-01,58.9
2022-04-01,61.4
2022-05-01,63.7
2022-06-01,66.0
2022-07-01,67.8
2022-08-01,66.9
2022-09-01,65.1
2022-10-01,63.7
2022-11-01,62.2
2022-12-01,61.4
2023-01-01,64.9
2023-02-01,66.5
2023-03-01,68.7
2023-04-01,70.2
2023-05-01,72.8
2023-06-01,74.1
2023-07-01,75.5
2023-08-01,74.8
2023-09-01,73.1
2023-10-01,71.9
2023-11-01,70.2
2023-12-01,69.3
2024-01-01,70.1
2024-02-01,70.5
2024-03-01,72.8
2024-04-01,74.3
2024-05-01,73.5
2024-06-01,72.2
